Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  1    0.65      7.70      -1      0     0.65      0.00      8.36      7.70
  2    1.49      10.95      -1      1     1.49      0.00      12.44      10.95
  3    4.61      8.79      -1      2     4.61      0.00      13.39      8.79
  4    7.11      14.06      -1      3     7.11      0.00      21.17      14.06
  5    10.82      5.62      -1      0     10.82      0.00      16.44      5.62
  6    12.90      5.21      -1      1     12.90      0.00      18.11      5.21
  7    13.06      2.51      -1      4     13.06      0.00      15.57      2.51
  8    14.64      12.42      -1      2     14.64      0.00      27.06      12.42
  9    15.90      5.44      -1      4     15.90      0.00      21.34      5.44
  10    16.06      3.26      -1      5     16.06      0.00      19.32      3.26
  11    18.20      5.34      -1      0     18.20      0.00      23.54      5.34
  12    19.86      10.74      -1      1     19.86      0.00      30.60      10.74
  13    19.91      10.36      -1      5     19.91      0.00      30.27      10.36
  14    20.59      0.51      0      3     21.17      0.59      21.69      1.10
  15    21.77      16.89      -1      3     21.77      0.00      38.66      16.89
  16    21.83      13.13      -1      4     21.83      0.00      34.96      13.13
  17    23.93      23.92      -1      0     23.93      0.00      47.86      23.92
  18    23.98      8.47      0      2     27.06      3.08      35.53      11.55
  19    24.93      8.92      0      5     30.27      5.34      39.19      14.26
  20    27.31      13.22      0      1     30.60      3.29      43.81      16.50
  21    30.16      13.78      0      4     34.96      4.80      48.74      18.58
  22    32.66      16.43      0      2     35.53      2.87      51.96      19.30
  23    34.92      5.11      0      3     38.66      3.74      43.77      8.85
  24    35.37      6.72      0      5     39.19      3.81      45.90      10.53
  25    36.52      4.41      0      3     43.77      7.25      48.18      11.66
  26    37.25      4.49      0      1     43.81      6.57      48.30      11.06
  27    38.67      0.71      0      5     45.90      7.23      46.61      7.95
  28    42.37      7.55      0      5     46.61      4.24      54.17      11.79
  29    46.41      32.38      0      0     47.86      1.45      80.24      33.83
  30    47.09      5.01      0      3     48.18      1.09      53.20      6.10
  31    47.30      13.26      0      1     48.30      1.00      61.56      14.26
  32    47.40      2.71      0      4     48.74      1.34      51.45      4.06
  33    48.34      5.67      0      4     51.45      3.12      57.13      8.79
  34    50.51      11.40      0      2     51.96      1.45      63.35      12.85
  35    51.08      2.84      0      3     53.20      2.12      56.04      4.96
  36    53.10      0.97      0      5     54.17      1.07      55.14      2.04
  37    53.86      15.09      0      5     55.14      1.27      70.22      16.36
  38    54.29      14.40      0      3     56.04      1.75      70.44      16.15
  39    58.21      15.91      -1      4     58.21      0.00      74.12      15.91
