Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  54    96.28      7.20      0      2     116.48      20.20      123.68      27.40
  55    96.95      24.41      0      1     116.65      19.70      141.06      44.11
  56    97.99      10.04      0      0     117.11      19.13      127.15      29.16
  58    105.33      6.72      0      2     123.68      18.35      130.40      25.07
  59    105.73      3.76      0      0     127.15      21.42      130.91      25.17
  60    107.64      9.49      0      2     130.40      22.76      139.89      32.26
  61    108.81      6.78      0      0     130.91      22.10      137.69      28.88
  62    109.22      10.75      0      0     137.69      28.47      148.44      39.22
  66    116.61      13.98      0      2     139.89      23.28      153.87      37.26
  67    122.25      22.51      0      1     141.06      18.80      163.57      41.31
  68    124.49      17.04      0      0     148.44      23.95      165.48      40.99
  69    129.24      1.77      0      2     153.87      24.64      155.64      26.41
  70    131.28      0.35      0      2     155.64      24.36      155.99      24.71
  71    132.18      6.63      0      2     155.99      23.81      162.62      30.44
  72    132.20      0.51      0      2     162.62      30.42      163.14      30.93
  73    132.78      7.64      0      2     163.14      30.36      170.78      38.00
  74    133.82      6.82      0      1     163.57      29.75      170.38      36.56
  77    138.90      4.84      0      0     165.48      26.59      170.33      31.43
  79    141.87      11.53      0      0     170.33      28.46      181.86      39.99
  80    145.66      10.21      0      1     170.38      24.73      180.60      34.94
  83    149.01      9.41      0      2     170.78      21.77      180.19      31.18
  90    155.34      2.45      0      2     180.19      24.85      182.64      27.30
  91    160.67      1.29      0      1     180.60      19.92      181.89      21.21
  92    160.78      11.36      0      0     181.86      21.08      193.22      32.45
  93    163.86      19.51      0      1     181.89      18.02      201.39      37.53
  94    166.42      5.65      0      2     182.64      16.23      188.30      21.88
  95    167.20      1.39      0      2     188.30      21.10      189.68      22.48
  96    169.51      4.12      0      2     189.68      20.17      193.81      24.30
  98    170.72      15.34      0      0     193.22      22.50      208.57      37.84
  99    171.91      0.52      0      2     193.81      21.90      194.33      22.42
  100    173.54      7.66      0      2     194.33      20.79      201.99      28.45
  106    181.72      1.17      0      1     201.39      19.68      202.56      20.84
  107    184.66      14.71      0      2     201.99      17.33      216.70      32.04
  108    187.00      1.32      0      1     202.56      15.56      203.88      16.88
  109    188.59      2.09      0      1     203.88      15.29      205.97      17.38
  110    190.43      19.49      0      1     205.97      15.54      225.46      35.03
  111    193.22      6.36      0      0     208.57      15.35      214.93      21.71
  112    194.34      6.56      0      0     214.93      20.59      221.49      27.15
  113    208.42      9.00      0      2     216.70      8.28      225.70      17.28
  114    209.52      26.31      0      0     221.49      11.97      247.80      38.28
  115    209.58      8.12      0      1     225.46      15.88      233.58      24.00
  116    211.12      6.87      0      2     225.70      14.58      232.57      21.45
  117    211.53      12.74      0      2     232.57      21.03      245.31      33.77
  118    214.27      9.72      0      1     233.58      19.31      243.30      29.03
  119    214.41      10.71      0      1     243.30      28.89      254.01      39.60
  120    215.54      3.90      0      2     245.31      29.76      249.21      33.66
  121    215.92      2.08      0      0     247.80      31.87      249.88      33.96
  122    218.67      4.09      0      2     249.21      30.54      253.29      34.63
  123    219.50      1.55      0      0     249.88      30.38      251.43      31.92
  124    225.94      4.59      0      0     251.43      25.49      256.02      30.08
  125    233.90      16.91      0      2     253.29      19.39      270.21      36.31
  126    237.20      5.15      0      1     254.01      16.81      259.16      21.97
  127    238.03      1.40      0      0     256.02      17.99      257.42      19.40
  128    238.19      8.50      0      0     257.42      19.24      265.92      27.74
  133    245.66      0.53      0      1     259.16      13.51      259.70      14.04
  134    247.66      6.39      0      1     259.70      12.04      266.09      18.43
  135    249.24      10.72      0      0     265.92      16.68      276.65      27.41
  136    250.80      2.11      0      1     266.09      15.29      268.21      17.40
  137    250.96      1.54      0      1     268.21      17.24      269.74      18.78
  138    254.16      3.12      0      1     269.74      15.59      272.87      18.71
  139    254.89      1.83      0      2     270.21      15.31      272.04      17.14
  140    255.76      2.14      0      2     272.04      16.27      274.17      18.41
  141    256.23      1.12      0      1     272.87      16.64      273.99      17.76
  142    258.25      1.87      0      1     273.99      15.73      275.86      17.60
  143    264.55      5.96      0      2     274.17      9.62      280.13      15.58
  144    264.97      5.44      0      1     275.86      10.88      281.29      16.32
  145    268.96      10.97      0      0     276.65      7.68      287.62      18.65
  146    269.55      1.89      0      2     280.13      10.58      282.03      12.48
  147    272.30      5.74      0      1     281.29      9.00      287.03      14.73
  148    273.68      31.72      0      2     282.03      8.34      313.74      40.06
  149    278.44      3.91      0      1     287.03      8.59      290.94      12.50
  150    287.41      4.10      0      0     287.62      0.21      291.72      4.31
  151    287.83      3.88      0      1     290.94      3.11      294.82      6.99
  152    297.91      19.29      -1      0     297.91      0.00      317.20      19.29
  153    298.05      0.95      -1      1     298.05      0.00      299.00      0.95
