Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  1    0.65      7.70      -1      0     0.65      0.00      8.36      7.70
  2    1.49      10.95      -1      1     1.49      0.00      12.44      10.95
  3    4.61      8.79      -1      2     4.61      0.00      13.39      8.79
  4    7.11      14.06      -1      3     7.11      0.00      21.17      14.06
  5    10.82      5.62      -1      0     10.82      0.00      16.44      5.62
  6    12.90      5.21      -1      1     12.90      0.00      18.11      5.21
  7    13.06      2.51      -1      4     13.06      0.00      15.57      2.51
  8    14.64      12.42      -1      2     14.64      0.00      27.06      12.42
  9    15.90      5.44      -1      4     15.90      0.00      21.34      5.44
  10    16.06      3.26      0      0     16.44      0.38      19.69      3.64
  11    18.20      5.34      -1      1     18.20      0.00      23.54      5.34
  12    19.86      10.74      -1      0     19.86      0.00      30.60      10.74
  13    19.91      10.36      0      3     21.17      1.26      31.53      11.61
  14    20.59      0.51      0      4     21.34      0.76      21.86      1.27
  15    21.77      16.89      0      4     21.86      0.08      38.74      16.97
  16    21.83      13.13      0      1     23.54      1.71      36.67      14.84
  17    23.93      23.92      0      2     27.06      3.13      50.98      27.05
  18    23.98      8.47      0      0     30.60      6.62      39.06      15.09
  19    24.93      8.92      0      3     31.53      6.60      40.44      15.51
  20    27.31      13.22      0      1     36.67      9.36      49.89      22.58
  21    30.16      13.78      0      4     38.74      8.59      52.52      22.37
  22    32.66      16.43      0      0     39.06      6.41      55.49      22.84
  23    34.92      5.11      0      3     40.44      5.52      45.55      10.63
  24    35.37      6.72      0      3     45.55      10.18      52.27      16.89
  25    36.52      4.41      0      1     49.89      13.37      54.30      17.78
  26    37.25      4.49      0      2     50.98      13.74      55.47      18.22
  27    38.67      0.71      0      3     52.27      13.60      52.98      14.31
  28    42.37      7.55      0      4     52.52      10.15      60.07      17.70
  29    46.41      32.38      0      3     52.98      6.57      85.36      38.95
  30    47.09      5.01      0      1     54.30      7.21      59.32      12.22
  31    47.30      13.26      0      2     55.47      8.17      68.73      21.42
  32    47.40      2.71      0      0     55.49      8.10      58.20      10.81
  33    48.34      5.67      0      0     58.20      9.87      63.88      15.54
  34    50.51      11.40      0      1     59.32      8.81      70.71      20.20
  35    51.08      2.84      0      4     60.07      8.99      62.92      11.84
  36    53.10      0.97      0      4     62.92      9.82      63.89      10.79
  37    53.86      15.09      0      0     63.88      10.02      78.97      25.11
  38    54.29      14.40      0      4     63.89      9.60      78.29      24.00
  39    58.21      15.91      0      2     68.73      10.52      84.64      26.43
