Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  46    71.64      1.31      0      1     98.82      27.18      100.14      28.50
  47    73.79      0.74      0      0     98.92      25.13      99.66      25.87
  48    75.84      9.15      0      0     99.66      23.81      108.81      32.96
  49    77.41      3.79      0      1     100.14      22.72      103.93      26.51
  50    81.95      2.52      0      2     101.49      19.54      104.01      22.06
  51    82.12      8.85      0      1     103.93      21.81      112.78      30.66
  52    92.54      2.87      0      2     104.01      11.47      106.89      14.35
  53    93.48      2.37      0      2     106.89      13.40      109.26      15.77
  54    96.28      7.20      0      3     106.96      10.67      114.15      17.87
  55    96.95      24.41      0      0     108.81      11.85      133.21      36.26
  58    105.33      6.72      0      2     109.26      3.93      115.98      10.65
  59    105.73      3.76      0      1     112.78      7.05      116.53      10.80
  60    107.64      9.49      0      3     114.15      6.51      123.64      16.01
  61    108.81      6.78      0      2     115.98      7.17      122.76      13.95
  62    109.22      10.75      0      1     116.53      7.31      127.29      18.07
  63    110.38      2.11      0      2     122.76      12.38      124.87      14.49
  64    110.79      11.95      0      3     123.64      12.86      135.59      24.80
  65    112.01      2.26      0      2     124.87      12.86      127.13      15.12
  66    116.61      13.98      0      2     127.13      10.52      141.11      24.50
  67    122.25      22.51      0      1     127.29      5.03      149.80      27.54
  68    124.49      17.04      0      0     133.21      8.72      150.26      25.76
  69    129.24      1.77      0      3     135.59      6.36      137.36      8.12
  70    131.28      0.35      0      3     137.36      6.08      137.71      6.43
  71    132.18      6.63      0      3     137.71      5.53      144.34      12.16
  72    132.20      0.51      0      2     141.11      8.91      141.63      9.42
  73    132.78      7.64      0      2     141.63      8.85      149.26      16.49
  74    133.82      6.82      0      3     144.34      10.52      151.16      17.34
  75    134.40      2.07      0      2     149.26      14.86      151.33      16.93
  76    136.55      7.92      0      1     149.80      13.25      157.71      21.16
  77    138.90      4.84      0      0     150.26      11.36      155.10      16.20
  78    139.22      16.62      0      3     151.16      11.94      167.78      28.56
  79    141.87      11.53      0      2     151.33      9.46      162.86      21.00
  80    145.66      10.21      0      0     155.10      9.44      165.31      19.65
  81    146.22      1.77      0      1     157.71      11.50      159.49      13.27
  82    146.30      1.97      0      1     159.49      13.18      161.46      15.15
  83    149.01      9.41      0      1     161.46      12.45      170.87      21.87
  84    149.04      1.05      0      2     162.86      13.83      163.92      14.88
  85    149.71      2.71      0      2     163.92      14.21      166.63      16.92
  87    150.72      4.15      0      0     165.31      14.59      169.46      18.74
  88    151.17      14.70      0      2     166.63      15.46      181.33      30.16
  89    153.08      4.75      0      3     167.78      14.70      172.53      19.45
  90    155.34      2.45      0      0     169.46      14.12      171.92      16.58
  91    160.67      1.29      0      1     170.87      10.20      172.16      11.49
  92    160.78      11.36      0      0     171.92      11.14      183.28      22.50
  93    163.86      19.51      0      1     172.16      8.30      191.67      27.81
  94    166.42      5.65      0      3     172.53      6.11      178.18      11.77
  95    167.20      1.39      0      3     178.18      10.98      179.57      12.37
  96    169.51      4.12      0      3     179.57      10.06      183.70      14.19
  97    170.00      2.39      0      2     181.33      11.33      183.72      13.72
  98    170.72      15.34      0      0     183.28      12.56      198.62      27.90
